Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distirbution,
CHARADRIIFORMES,PEDIONOMIDAE,Pedionomus torquatus,Plains-wanderer,38.949817,4,6.460212814,1,22693049,Australia, 
PELECANIFORMES,THRESKIORNITHIDAE,Thaumatibis gigantea,Giant Ibis,37.96114889,4,6.435153689,2,22697536,"Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam", 
CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles savesi,New Caledonian Owlet-nightjar,34.4136386,4,6.339685739,3,22689559,New Caledonia, 
CATHARTIFORMES,CATHARTIDAE,Gymnogyps californianus,California Condor,33.390317,4,6.310363764,4,22697636,"Mexico,United States", 
EURYPYGIFORMES,RHYNOCHETIDAE,Rhynochetos jubatus,Kagu,55.381864,3,6.111589088,5,22692211,New Caledonia, 
SULIFORMES,FREGATIDAE,Fregata andrewsi,Christmas Frigatebird,22.678181,4,5.937142713,6,22697742,"Australia,Brunei Darussalam,Cocos (Keeling) Islands,China,Christmas Island,Hong Kong,Indonesia,India,Japan,Cambodia,Sri Lanka,Malaysia,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam", 
OTIDIFORMES,OTIDIDAE,Houbaropsis bengalensis,Bengal Florican,19.61591317,4,5.798651984,7,22692015,"Bangladesh,India,Cambodia,Nepal,Viet Nam", 
PELECANIFORMES,THRESKIORNITHIDAE,Geronticus eremita,Northern Bald Ibis,19.1360373,4,5.775099832,8,22697488,"Switzerland,Cape Verde,Germany,Algeria,Western Sahara,Eritrea,Spain,Ethiopia,Israel,Iraq,Jordan,Morocco,Montenegro,Mali,Mauritania,Portugal,Serbia,Saudi Arabia,Sudan,Senegal,Somalia,Syrian Arab Republic,Turkey,Yemen", 
PSITTACIFORMES,STRIGOPIDAE,Strigops habroptila,Kakapo,18.63106867,4,5.74970217,9,22685245,New Zealand, 
CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus exul,New Caledonian Nightjar,18.06007286,4,5.720184443,10,22726340,New Caledonia, 
CUCULIFORMES,CUCULIDAE,Carpococcyx viridis,Sumatran Ground-cuckoo,18.01962459,4,5.718060042,11,22724459,Indonesia, 
PROCELLARIIFORMES,OCEANITIDAE,Fregetta maoriana,New Zealand Storm-petrel ,17.764954,4,5.704579703,12,22728808,New Zealand, 
PASSERIFORMES,CALLAEIDAE,Callaeas cinereus,South Island Kokako,17.737359,4,5.703108061,13,103730380,New Zealand, 
PASSERIFORMES,ACANTHISITTIDAE,Xenicus gilviventris,New Zealand Rockwren,35.034109,3,5.663907504,14,22698585,New Zealand, 
ACCIPITRIFORMES,ACCIPITRIDAE,Pithecophaga jefferyi,Philippine Eagle,16.61394624,4,5.64127971,15,22696012,Philippines, 
COLUMBIFORMES,COLUMBIDAE,Didunculus strigirostris,Tooth-billed Pigeon,16.40652268,4,5.629433725,16,22691890,Samoa, 
