Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distribution,
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus attenboroughi,Sir David's Long-beaked Echidna,46.569828,4,6.634787417,1,136322,Indonesia, 
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus bruijnii,Western Long-beaked Echidna,46.569828,4,6.634787417,1,23179,"Australia,Indonesia", 
CHIROPTERA,MYSTACINIDAE,Mystacina robusta,New Zealand Greater Short-tailed Bat,41.38425371,4,6.519365641,3,14260,New Zealand, 
CETARTIODACTYLA,LIPOTIDAE,Lipotes vexillifer,Changjiang Dolphin,39.23933215,4,6.467433651,4,12119,China, 
DIPROTODONTIA,BURRAMYIDAE,Burramys parvus,Mountain Pygmy Possum,34.65598467,4,6.346505728,5,3339,Australia, 
EULIPOTYPHLA,SOLENODONTIDAE,Atopogale cubana,Cuban Solenodon,61.5334489,3,6.215143138,6,20320,Cuba, 
EULIPOTYPHLA,SOLENODONTIDAE,Solenodon paradoxus,Haitian Solenodon,61.5334489,3,6.215143138,6,20321,"Dominican Republic,Haiti", 
PERISSODACTYLA,RHINOCEROTIDAE,Dicerorhinus sumatrensis,Sumatran Rhinoceros,30.02221006,4,6.207292124,8,6553,"Bangladesh,Brunei Darussalam,Bhutan,Indonesia,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Thailand,Viet Nam", 
PERISSODACTYLA,RHINOCEROTIDAE,Diceros bicornis,Black Rhinoceros,27.73204724,4,6.130601851,9,6557,"Angola,Botswana,Cameroon,Ethiopia,Kenya,Malawi,Mozambique,Namibia,Rwanda,Swaziland,Chad,Tanzania, United Republic of,South Africa,Zambia,Zimbabwe", 
DIPROTODONTIA,PETAURIDAE,Gymnobelideus leadbeateri,Leadbeater's Possum,27.68176025,4,6.128850112,10,9564,Australia, 
DIPROTODONTIA,VOMBATIDAE,Lasiorhinus krefftii,Northern Hairy-nosed Wombat,26.19057565,4,6.075459152,11,11343,Australia, 
PERISSODACTYLA,RHINOCEROTIDAE,Rhinoceros sondaicus,Javan Rhinoceros,25.32572861,4,6.043135457,12,19495,"Bangladesh,China,Indonesia,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Thailand,Viet Nam", 
